os_version_id,os_version_name,os_version_description
88,FreeBSD 13,FreeBSD version 13 released in 2021 with ZFS enhancements
89,FreeBSD 12,FreeBSD version 12 released in 2018
90,OpenBSD 7.4,OpenBSD version 7.4 released in 2023 with security enhancements
91,OpenBSD 7.3,OpenBSD version 7.3 released in 2023
92,NetBSD 10,NetBSD version 10 with improved hardware support
93,NetBSD 9,NetBSD version 9 released in 2020
94,Solaris 11,Oracle Solaris 11 with ZFS and DTrace integration
95,Solaris 10,Oracle Solaris 10 with Zones virtualization
96,AIX 7.3,IBM AIX version 7.3 for Power Systems
97,AIX 7.2,IBM AIX version 7.2 released in 2015
98,HP-UX 11i v3,HP-UX version 11i v3 for Integrity servers
99,Chrome OS 120,Chrome OS version 120 released in 2024
100,Chrome OS 119,Chrome OS version 119 released in 2023
